,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,PYPL,ADBE,CSCO,AMD,INTC,NFLX,ZM,MRNA,AMAT,QCOM,ASML,AVGO,SMCI
Ticker,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,PYPL,ADBE,CSCO,AMD,INTC,NFLX,ZM,MRNA,AMAT,QCOM,ASML,AVGO,SMCI
Date,,,,,,,,,,,,,,,,,,,,
2024-01-02,184.53208923339844,367.380615234375,137.67092895507812,149.92999267578125,48.15434646606445,344.9722595214844,248.4199981689453,61.459999084472656,580.0700073242188,48.58662414550781,138.5800018310547,47.168277740478516,468.5,69.1500015258789,112.5,152.82191467285156,137.5181121826172,711.210693359375,107.09550476074219,28.545000076293945
2024-01-03,183.150390625,367.1131591796875,138.418212890625,148.47000122070312,47.555519104003906,343.1591796875,238.4499969482422,58.630001068115234,571.7899780273438,48.964691162109375,135.32000732421875,46.42819595336914,470.260009765625,67.16999816894531,108.58000183105469,149.9311981201172,134.93899536132812,697.7685546875,104.45111083984375,28.06399917602539
2024-01-04,180.82435607910156,364.4781799316406,135.89736938476562,144.57000732421875,47.984397888183594,345.799072265625,237.92999267578125,58.45000076293945,567.0499877929688,48.547847747802734,136.00999450683594,46.250572204589844,474.6700134277344,66.9000015258789,108.66000366210938,147.8126678466797,133.53662109375,694.713134765625,103.50682830810547,28.8799991607666
2024-01-05,180.09869384765625,364.2900085449219,135.23973083496094,145.24000549316406,49.08308029174805,350.6106872558594,237.49000549316406,60.119998931884766,564.5999755859375,48.55754089355469,138.5800018310547,46.27030944824219,474.05999755859375,66.95999908447266,111.12000274658203,147.50576782226562,134.08580017089844,697.7388916015625,103.53347778320312,29.21299934387207
2024-01-08,184.45254516601562,371.1647033691406,138.3385009765625,149.10000610351562,52.23818588256836,357.295166015625,240.4499969482422,61.7400016784668,580.5499877929688,48.916221618652344,146.17999267578125,47.8096923828125,485.0299987792969,68.38999938964844,115.44000244140625,150.0400848388672,136.34132385253906,715.0995483398438,106.0564956665039,32.02799987792969
2024-01-09,184.0350799560547,372.25433349609375,140.44090270996094,151.3699951171875,53.12493896484375,356.06982421875,234.9600067138672,61.04999923706055,586.2000122070312,48.38304901123047,149.25999450683594,47.41497802734375,482.0899963378906,68.30999755859375,110.18000030517578,149.51539611816406,137.1846923828125,710.2484130859375,106.81034088134766,34.37300109863281
2024-01-10,185.0787811279297,379.1686096191406,141.76608276367188,153.72999572753906,54.3345947265625,369.06024169921875,233.94000244140625,60.959999084472656,591.030029296875,48.70295715332031,148.5399932861328,46.84264373779297,478.3299865722656,68.18000030517578,109.45999908447266,148.30764770507812,136.61590576171875,712.0737915039062,106.62089538574219,34.237998962402344
2024-01-11,184.4823760986328,381.01116943359375,141.5668182373047,155.17999267578125,54.806461334228516,368.2632751464844,227.22000122070312,61.349998474121094,597.489990234375,48.89683151245117,148.02000427246094,47.010398864746094,492.2300109863281,68.5,106.79499816894531,150.4261932373047,136.34132385253906,712.807861328125,108.53609466552734,34.33100128173828
2024-01-12,184.8104248046875,384.81500244140625,142.13473510742188,154.6199951171875,54.694488525390625,373.06494140625,218.88999938964844,61.0,596.5399780273438,48.79989242553711,146.55999755859375,46.49726486206055,492.1600036621094,70.45999908447266,105.94999694824219,149.7332000732422,137.4886932373047,707.5401000976562,109.29586029052734,33.95600128173828
