,date,isin,nav,name
GB0000154681,2020-01-03,GB0000154681,4.985,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-01-06,GB0000154681,4.974,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-01-07,GB0000154681,4.967,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-01-08,GB0000154681,4.957,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-01-09,GB0000154681,4.941,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-01-10,GB0000154681,4.938,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-01-13,GB0000154681,4.963,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-01-14,GB0000154681,4.962,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-01-15,GB0000154681,5.013,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-01-16,GB0000154681,5.02,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-01-17,GB0000154681,5.019,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-01-20,GB0000154681,5.003,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-01-21,GB0000154681,4.999,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-01-22,GB0000154681,5.019,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-01-23,GB0000154681,5.034,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-01-24,GB0000154681,5.054,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-01-27,GB0000154681,5.092,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-01-28,GB0000154681,5.098,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-01-29,GB0000154681,5.078,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-01-30,GB0000154681,5.102,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-01-31,GB0000154681,5.089,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-02-03,GB0000154681,5.084,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-02-04,GB0000154681,5.064,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-02-05,GB0000154681,5.037,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-02-06,GB0000154681,5.037,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-02-07,GB0000154681,5.054,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-02-10,GB0000154681,5.059,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-02-11,GB0000154681,5.055,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-02-12,GB0000154681,5.064,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-02-13,GB0000154681,5.056,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-02-14,GB0000154681,5.046,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-02-17,GB0000154681,5.043,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-02-18,GB0000154681,5.046,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-02-19,GB0000154681,5.053,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-02-20,GB0000154681,5.067,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-02-21,GB0000154681,5.077,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-02-25,GB0000154681,5.118,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-02-26,GB0000154681,5.136,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-02-27,GB0000154681,5.136,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-02-28,GB0000154681,5.159,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-03-02,GB0000154681,5.172,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-03-03,GB0000154681,5.154,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-03-04,GB0000154681,5.19,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-03-05,GB0000154681,5.183,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-03-06,GB0000154681,5.29,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-03-09,GB0000154681,5.5,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-03-10,GB0000154681,5.34,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-03-11,GB0000154681,5.312,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-03-12,GB0000154681,5.369,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-03-13,GB0000154681,5.209,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-03-16,GB0000154681,5.213,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-03-20,GB0000154681,5.137,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-03-23,GB0000154681,5.211,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-03-24,GB0000154681,5.257,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-03-25,GB0000154681,5.224,"HSBC GILT & FIXED INTEREST ""R"""
GB0000154681,2020-03-26,GB0000154681,5.235,"HSBC GILT & FIXED INTEREST ""R"""
